0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0,134,410,48,32,165,188,94,1,173,184,18,192,44,5,27,16,23
0,0,4,0,3,0,0,1,1,1,2,0,0,0,0,0,0,0,0
134,4,0,246,401,134,79,348,15,2,68,398,24,78,281,70,98,56,135
410,0,246,0,44,51,128,195,22,3,48,462,25,250,227,8,48,59,43
48,3,401,44,0,22,51,323,7,0,35,47,8,21,32,47,22,11,19
32,0,134,51,22,0,17,19,1,0,3,179,2,39,86,1,3,68,2
165,0,79,128,51,17,0,131,47,0,128,50,2,65,10,9,3,39,0
188,1,348,195,323,19,131,0,106,7,229,68,10,79,135,50,7,42,6
94,1,15,22,7,1,47,106,0,0,165,3,2,21,0,11,1,0,0
1,1,2,3,0,0,0,7,0,0,4,1,0,0,1,8,0,0,4
173,2,68,48,35,3,128,229,165,4,0,4,3,47,3,27,0,1,0
184,0,398,462,47,179,50,68,3,1,4,0,6,177,321,2,22,198,20
18,0,24,25,8,2,2,10,2,0,3,6,0,1,8,3,3,0,5
192,0,78,250,21,39,65,79,21,0,47,177,1,0,17,1,2,69,0
44,0,281,227,32,86,10,135,0,1,3,321,8,17,0,6,2,26,10
5,0,70,8,47,1,9,50,11,8,27,2,3,1,6,0,1,2,4
27,0,98,48,22,3,3,7,1,0,0,22,3,2,2,1,0,1,47
16,0,56,59,11,68,39,42,0,0,1,198,0,69,26,2,1,0,0
23,0,135,43,19,2,0,6,0,4,0,20,5,0,10,4,47,0,0
