budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
237000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",,19995,UxDQ1qbUT2PQveYCQYicD5IzPVYUQNUzDNVx2t2DQficbUeBf7,English,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",,"['Dune Entertainment', 'Ingenious Film Partners', 'Lightstorm Entertainment', 'Twentieth Century Fox Film Corporation']","['United Kingdom', 'United States of America']",2009/12/10,2787965087,162,"['English', 'Spanish']",,Enter the World of Pandora.,Avatar,7.2,11800
300000000,"['Action', 'Adventure', 'Fantasy']",,285,YTqeQqtc2XvXHiUXebNYfxjDqVHTqvtCDPBYJ,English,Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",,"['Jerry Bruckheimer Films', 'Second Mate Productions', 'Walt Disney Pictures']",['United States of America'],2007/5/19,961000000,169,['English'],,"At the end of the world, the adventure begins.",Pirates of the Caribbean: At World's End,6.9,4500
245000000,"['Action', 'Adventure', 'Crime']",,206647,UNpbG2X2DNYUiWq,English,Spectre,"A cryptic message from Bond‚Äôs past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",,"['B24', 'Columbia Pictures', 'Danjaq']","['United Kingdom', 'United States of America']",2015/10/26,880674609,148,"['English', 'French', 'German', 'Italian', 'Spanish']",,A Plan No One Escapes,Spectre,6.3,4466
250000000,"['Action', 'Crime', 'Drama', 'Thriller']",,49026,Px2XXXzvHjCVDsVjIsYICBMxTWqeeNBbvxXCbiQVj2UCvcfzQv7,English,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",,"['DC Entertainment', 'Legendary Pictures', 'Syncopy', 'Warner Bros.']",['United States of America'],2012/7/16,1084939099,165,['English'],,The Legend Ends,The Dark Knight Rises,7.6,9106
260000000,"['Action', 'Adventure', 'Science Fiction']",,49529,siTWVvxP5WVj55GC5XzecTI5GGpfvNQetXPHD,English,John Carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",,['Walt Disney Pictures'],['United States of America'],2012/3/7,284139100,132,['English'],,"Lost in our world, found in another.",John Carter,6.1,2124
258000000,"['Action', 'Adventure', 'Fantasy']",,559,TjzbTGbU5sz5PfIfWPXztpxG2MPeGcTC5CfB3,English,Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villain ‚Ä?including the shape-shifting Sandman. While Spider-Man‚Äôs superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']",['United States of America'],2007/5/1,890871626,139,"['English', 'French']",,The battle within.,Spider-Man 3,5.9,3576
260000000,"['Animation', 'Family']",,38757,PNIMjNzIDxzfMxqtfVjTjCQsQTWVBvcipWsk,English,Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",,"['Walt Disney Animation Studios', 'Walt Disney Pictures']",['United States of America'],2010/11/24,591794936,100,['English'],,They're taking adventure to new lengths.,Tangled,7.4,3330
280000000,"['Action', 'Adventure', 'Science Fiction']",,99861,UHzMYVIWPUvCCNDVB,English,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth‚Äôs Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",,"['Marvel Studios', 'Prime Focus', 'Revolution Sun Studios']",['United States of America'],2015/4/22,1405403694,141,['English'],,A New Age Has Come.,Avengers: Age of Ultron,7.3,6767
250000000,"['Adventure', 'Family', 'Fantasy']",,767,WTz5tPVCiNXcDNz1izd,English,Harry Potter and the Half-Blood Prince,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",,"['Heyday Films', 'Warner Bros.']","['United Kingdom', 'United States of America']",2009/7/7,933959197,153,['English'],,Dark Secrets Revealed,Harry Potter and the Half-Blood Prince,7.4,5293
250000000,"['Action', 'Adventure', 'Fantasy']",,209112,QQqtxqtiIjNxpcfbNCeYK,English,Batman v Superman: Dawn of Justice,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City‚Äôs own formidable, forceful vigilante takes on Metropolis‚Äôs most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it‚Äôs ever known before.",,"['Atlas Entertainment', 'Cruel & Unusual Films', 'DC Comics', 'DC Entertainment', 'RatPac-Dune Entertainment', 'Warner Bros.']",['United States of America'],2016/3/23,873260194,151,['English'],,Justice or revenge,Batman v Superman: Dawn of Justice,5.7,7004
270000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",,1452,QQIjPVcqMMVPqj5iYMVCGML,English,Superman Returns,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",,"['Bad Hat Harry Productions', 'DC Comics', 'Legendary Pictures', 'Warner Bros.']",['United States of America'],2006/6/28,391081192,154,"['English', 'French', 'German']",,,Superman Returns,5.4,1400
200000000,"['Action', 'Adventure', 'Crime', 'Thriller']",,10764,DDxBp21xl,English,Quantum of Solace,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",,['Eon Productions'],"['United Kingdom', 'United States of America']",2008/10/30,586090727,106,"['English', 'French', 'German', 'Italian', 'Spanish']",,"For love, for hate, for justice, for revenge.",Quantum of Solace,6.1,2965
200000000,"['Action', 'Adventure', 'Fantasy']",,58,YTP5VMtvfHbjHIQcbVBxfHveqe5C2qiK,English,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",,"['Jerry Bruckheimer Films', 'Second Mate Productions', 'Walt Disney Pictures']","['Bahamas', 'Dominica', 'Jamaica', 'United States of America']",2006/6/20,1065659812,151,"['Chinese', 'English', 'Greek', 'Turkish']",,Jack is back!,Pirates of the Caribbean: Dead Man's Chest,7,5246
255000000,"['Action', 'Adventure', 'Western']",,57201,WT5pBjCYc2i5etDbfG1GqcpHvPID21UL,English,The Lone Ranger,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",,"['Blind Wink Productions', 'Classic Media', 'Infinitum Nihil', 'Jerry Bruckheimer Films', 'Silver Bullet Productions (II)', 'Walt Disney Pictures']",['United States of America'],2013/7/3,89289910,149,['English'],,Never Take Off the Mask,The Lone Ranger,5.9,2311
225000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",,49521,TxQQIjNxpY5WBYMVCGGL,English,Man of Steel,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",,"['Cruel and Unusual Films', 'DC Entertainment', 'Legendary Pictures', 'Syncopy', 'Warner Bros.']","['United Kingdom', 'United States of America']",2013/6/12,662845518,143,['English'],,You will believe that a man can fly.,Man of Steel,6.5,6359
225000000,"['Adventure', 'Family', 'Fantasy']",,2454,UQpG5tYBVWfHPxU2bcWNHMMIDs2o,English,The Chronicles of Narnia: Prince Caspian,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",,"['Ozumi Films', 'Propeler', 'Revolution Sun Studios', 'Silverbell Films', 'Stillking Films', 'Walden Media', 'Walt Disney']","['Czech Republic', 'Poland', 'Slovenia', 'United States of America']",2008/5/15,419651413,150,['English'],,Hope has a new face.,The Chronicles of Narnia: Prince Caspian,6.3,1630
