production_companies,revenue_avg
Dune Entertainment,200473173.7037037
Ingenious Film Partners,222576778.08695653
Lightstorm Entertainment,708479174.25
Twentieth Century Fox Film Corporation,179260716.77450982
Jerry Bruckheimer Films,347357098.2777778
Second Mate Productions,1065659812.0
Walt Disney Pictures,280022788.3636364
B24,0.0
Columbia Pictures,165981797.4011976
Danjaq,120937482.28571428
DC Entertainment,441851710.2222222
Legendary Pictures,310707819.030303
Syncopy,536427283.5714286
Warner Bros.,169211381.8091873
Laura Ziskin Productions,432209329.0
Marvel Enterprises,342486203.6
Walt Disney Animation Studios,432575122.5714286
Marvel Studios,727749748.8333334
Prime Focus,0.0
Revolution Sun Studios,458828666.8666667
Heyday Films,582746118.5
Atlas Entertainment,247317071.4
Cruel & Unusual Films,0.0
DC Comics,317891467.72727275
RatPac-Dune Entertainment,246865849.72727272
Bad Hat Harry Productions,365331002.27272725
Eon Productions,206185674.85714287
Blind Wink Productions,0.0
Classic Media,0.0
Infinitum Nihil,176711727.0
Silver Bullet Productions (II),0.0
Cruel and Unusual Films,212945287.66666666
Ozumi Films,0.0
Propeler,0.0
Silverbell Films,0.0
Stillking Films,182843227.42857143
Walden Media,180974767.5
Walt Disney,227503121.83333334
Paramount Pictures,157435861.02
Moving Picture Company (MPC),305715902.27272725
Amblin Entertainment,336234964.5869565
Hemisphere Media Capital,417079749.6666667
Imagenation Abu Dhabi FZ,72281954.81818181
Media Magik Entertainment,39031337.0
Parkes/MacDonald Productions,200067542.33333334
3Foot7,0.0
Metro-Goldwyn-Mayer (MGM),95615289.85263158
New Line Cinema,129292629.48251748
Warner Bros. Pictures,341233427.3333333
WingNut Films,612538271.4
Marvel Entertainment,451595755.5714286
Imagine Entertainment,167776966.42857143
Relativity Media,125761031.85858586
Scott Free Productions,138762729.3846154
Universal Pictures,153737441.4618182
Depth of Field,14015738.666666666
Scholastic Productions,0.0
Big Primate Pictures,0.0
MFPV Film,91974818.0
Deluxe Digital Studios,0.0
Studio Babelsberg,146214782.0
Vita-Ray Dutch Productions (III),0.0
Walt Disney Studios Motion Pictures,383037144.6
Bluegrass Films,135720020.4
Film 44,149295601.0
Hasbro,337172647.5
Dentsu,347599328.27272725
Fuji Television Network,568424586.6
Universal Studios,119651114.6
Roth Films,290455352.25
Team Todd,116900161.16666667
Tim Burton Productions,177129760.9090909
"Zanuck Company, The",222649407.66666666
Donners' Company,262285654.76923078
Major Studio Partners,180845814.5
X3 Canada Productions,0.0
X3US Productions,0.0
XM3 Service,0.0
thinkfilm,709709780.0
Pixar Animation Studios,604415545.4
Di Bonaventura Pictures,307326717.2
DreamWorks SKG,205276309.06060606
