revenue,budget,release_date,runtime,vote_average,vote_count
2787965087,237000000,40157,162,7.2,11800
961000000,300000000,39221,169,6.9,4500
880674609,245000000,42303,148,6.3,4466
1084939099,250000000,41106,165,7.6,9106
284139100,260000000,40975,132,6.1,2124
890871626,258000000,39203,139,5.9,3576
591794936,260000000,40506,100,7.4,3330
1405403694,280000000,42116,141,7.3,6767
933959197,250000000,40001,153,7.4,5293
873260194,250000000,42452,151,5.7,7004
391081192,270000000,38896,154,5.4,1400
586090727,200000000,39751,106,6.1,2965
1065659812,200000000,38888,151,7.0,5246
89289910,255000000,41458,149,5.9,2311
662845518,225000000,41437,143,6.5,6359
419651413,225000000,39583,150,6.3,1630
1519557910,220000000,41024,143,7.4,11776
1045713802,380000000,40677,136,6.4,4948
624026776,225000000,41052,106,6.2,4160
956019788,250000000,41983,144,7.1,4760
752215857,215000000,41087,136,6.5,6586
310669540,200000000,40310,140,6.2,1398
958400000,250000000,41619,161,7.6,4524
372234864,180000000,39420,113,5.8,1303
550000000,207000000,38700,187,6.6,2337
1845034188,200000000,35752,194,7.5,7562
1153304495,250000000,42487,147,7.1,7241
303025485,209000000,41010,131,5.5,2114
1513528810,150000000,42164,124,6.5,8662
1108561013,200000000,41207,143,6.9,7604
783766341,200000000,38163,127,6.7,4321
1215439994,200000000,41382,130,6.8,8806
1025491110,200000000,40240,108,6.4,4645
459359555,210000000,38861,104,6.3,3525
743559607,200000000,41445,104,7.0,3528
836297228,150000000,39983,150,6.0,3138
1091405097,210000000,41815,165,5.8,3095
491868548,200000000,41340,130,5.7,3530
705717432,200000000,41745,142,6.5,4179
400062763,170000000,40522,125,6.3,2841
559852396,200000000,40705,106,5.8,2033
219851172,200000000,40710,114,5.1,2487
1066969703,200000000,40345,103,7.6,4597
371353001,200000000,39953,115,5.9,2463
1506249360,190000000,42095,137,7.3,4176
531865000,200000000,41445,116,6.7,5560
747862775,250000000,41774,131,7.5,6032
467365246,190000000,41399,132,7.4,4418
197687603,195000000,41332,114,5.5,2598
351040419,105000000,41404,143,7.3,3769
335154643,150000000,40317,116,6.2,2317
407602906,180000000,41466,131,6.7,4794
1123746996,195000000,40722,154,6.1,3299
786636033,185000000,39589,122,5.7,2495
331926147,175000000,42322,93,6.6,1736
538983207,185000000,41081,93,6.7,4641
343471816,185000000,42558,122,6.6,2568
521311860,180000000,39621,98,7.8,6296
258022233,140000000,39302,91,6.1,783
769653595,200000000,40096,158,5.6,4903
325233863,200000000,40121,96,6.6,1095
356743061,180000000,42550,109,5.5,2430
748806957,180000000,38693,143,6.7,2629
543934787,178000000,42508,144,6.4,4721
1004558444,185000000,39645,152,8.2,12002
735099082,175000000,39946,96,7.7,6870
381509870,175000000,39891,94,6.0,1423
585174222,140000000,39568,126,7.4,8776
185770160,170000000,40869,126,7.0,2141
222104681,170000000,36340,106,5.1,1020
401128639,145000000,39630,112,5.2,1387
745000000,175000000,42584,123,5.9,7458
173000000,175000000,39242,96,5.3,1151
370541256,178000000,41786,113,7.6,4858
264218220,175000000,34908,135,5.9,992
302469017,175000000,40029,118,5.6,1962
857611174,175000000,42164,94,8.0,6560
966550600,175000000,42467,106,6.7,2892
623933331,200000000,40296,124,6.6,6849
396600000,170000000,41059,127,5.8,3118
758539785,180000000,41787,97,7.0,4496
710644566,170000000,41816,130,7.3,4410
150962475,175000000,41614,119,5.9,1326
714766572,170000000,41718,136,7.6,5764
752600867,165000000,40314,93,6.0,1959
209154322,190000000,42143,130,6.2,2846
652105443,165000000,41936,102,7.8,6135
471222889,165000000,41214,108,7.1,4570
305875730,165000000,38301,100,6.4,1474
389681935,165000000,42543,120,4.9,2491
494878759,165000000,40242,98,7.5,4227
435000000,200000000,37804,109,5.9,2143
773328629,170000000,41850,121,7.9,9742
675120017,165000000,41948,169,8.1,10867
825532764,160000000,40373,148,8.1,13752
77000000,15000000,42580,120,6.5,143
1021103568,250000000,41239,169,7.0,8297
207283925,38000000,37064,106,6.6,3428
333932083,150000000,39776,166,7.3,3292
353624124,160000000,40687,132,7.1,5181
653428261,160000000,42326,137,6.6,3984
215283742,150000000,40372,109,5.8,1470
181674817,160000000,38849,99,5.5,583
299370084,170000000,42515,113,6.5,1725
798958165,160000000,39219,93,6.0,2278
433677183,160000000,42515,123,6.3,2268
440603537,155000000,42178,126,5.8,3631
415686217,155000000,40403,113,6.2,1514
449220945,140000000,37032,183,6.6,1791
709709780,150000000,39260,144,6.6,4040
167298192,155000000,38312,175,5.6,927
938212738,150000000,39261,138,7.4,5494
895921036,150000000,38661,157,7.5,5608
624029371,150000000,39630,92,6.2,2961
585349010,150000000,39430,101,6.9,4853
474968763,150000000,38546,115,6.7,3624
623722818,150000000,39255,111,7.5,4369
374218673,150000000,38513,140,7.5,7359
603900354,150000000,39751,89,6.2,1810
413106170,150000000,39953,105,5.9,1971
373062864,150000000,39931,107,6.2,4021
424988211,150000000,37930,129,6.4,3096
1274219009,150000000,41605,102,7.3,5295
738599701,150000000,37756,138,6.7,3443
644571402,170000000,41576,112,6.8,4755
378858340,150000000,42137,120,7.2,9427
356613439,150000000,39946,138,6.5,2129
449326618,150000000,40654,115,6.6,6525
309979994,150000000,39773,98,6.3,1750
292817841,150000000,40015,88,5.1,510
301000000,150000000,40995,99,5.5,1431
245527149,150000000,41037,113,5.7,2320
682330139,150000000,42208,131,7.1,3224
287594577,150000000,39383,91,5.7,1171
665692281,150000000,40688,91,6.7,1880
318502923,150000000,40359,103,4.7,1151
397850012,150000000,38840,126,6.5,2028
205366737,150000000,41452,131,6.4,1891
38992758,150000000,40611,88,5.5,199
64459316,149000000,39012,85,6.0,874
128388320,150000000,42271,111,5.9,954
272912430,145000000,41677,92,6.7,843
497409852,175000000,38120,163,6.9,2759
746921274,145000000,41066,93,6.4,1808
431971116,140000000,37577,133,5.8,1092
229147509,144000000,42565,116,5.3,2142
553799566,140000000,35977,151,6.4,2482
441818803,140000000,37440,88,6.0,3114
195735876,70000000,39391,115,5.5,841
521170825,145000000,42392,95,6.7,1603
694713380,145000000,40884,133,6.8,3972
306941670,145000000,41234,97,7.1,1922
202026112,100000000,38707,90,5.9,627
456758981,140000000,37960,154,7.3,1895
268031828,140000000,41976,150,5.6,1921
385680446,150000000,39939,127,7.4,4518
821708551,139000000,37377,121,6.8,5265
609123048,145000000,41802,102,7.6,3106
150680864,140000000,42425,127,5.3,1277
76932943,135000000,38561,121,4.9,331
185258983,130000000,39877,163,7.0,2811
285444603,140000000,35986,127,6.3,767
245360480,137000000,37791,138,5.3,1533
371876278,130000000,41359,110,5.4,3025
119269486,130000000,38448,124,5.7,434
85131830,137000000,37074,106,5.9,433
370569774,140000000,40746,124,6.6,7047
